mmstvec,mmscomps
Sunday 01-Mar-2020 04:00:00,X
Sunday 01-Mar-2020 04:00:00,Y
Sunday 01-Mar-2020 04:00:00,Z
Sunday 01-Mar-2020 05:00:00,X
Sunday 01-Mar-2020 05:00:00,Y
Sunday 01-Mar-2020 05:00:00,Z
Sunday 01-Mar-2020 06:00:00,X
Sunday 01-Mar-2020 06:00:00,Y
Sunday 01-Mar-2020 06:00:00,Z
Sunday 01-Mar-2020 07:00:00,X
Sunday 01-Mar-2020 07:00:00,Y
Sunday 01-Mar-2020 07:00:00,Z
Sunday 01-Mar-2020 08:00:00,X
Sunday 01-Mar-2020 08:00:00,Y
Sunday 01-Mar-2020 08:00:00,Z
Sunday 01-Mar-2020 09:00:00,X
Sunday 01-Mar-2020 09:00:00,Y
Sunday 01-Mar-2020 09:00:00,Z
Sunday 01-Mar-2020 10:00:00,X
Sunday 01-Mar-2020 10:00:00,Y
Sunday 01-Mar-2020 10:00:00,Z
Sunday 01-Mar-2020 11:00:00,X
Sunday 01-Mar-2020 11:00:00,Y
Sunday 01-Mar-2020 11:00:00,Z
Sunday 01-Mar-2020 12:00:00,X
Sunday 01-Mar-2020 12:00:00,Y
Sunday 01-Mar-2020 12:00:00,Z
Sunday 01-Mar-2020 13:00:00,X
Sunday 01-Mar-2020 13:00:00,Y
Sunday 01-Mar-2020 13:00:00,Z
Sunday 01-Mar-2020 14:00:00,X
Sunday 01-Mar-2020 14:00:00,Y
Sunday 01-Mar-2020 14:00:00,Z
Sunday 01-Mar-2020 15:00:00,X
Sunday 01-Mar-2020 15:00:00,Y
Sunday 01-Mar-2020 15:00:00,Z
Sunday 01-Mar-2020 16:00:00,X
Sunday 01-Mar-2020 16:00:00,Y
Sunday 01-Mar-2020 16:00:00,Z
Sunday 01-Mar-2020 17:00:00,X
Sunday 01-Mar-2020 17:00:00,Y
Sunday 01-Mar-2020 17:00:00,Z
Sunday 01-Mar-2020 18:00:00,X
Sunday 01-Mar-2020 18:00:00,Y
Sunday 01-Mar-2020 18:00:00,Z
Sunday 01-Mar-2020 19:00:00,X
Sunday 01-Mar-2020 19:00:00,Y
Sunday 01-Mar-2020 19:00:00,Z
Sunday 01-Mar-2020 20:00:00,X
Sunday 01-Mar-2020 20:00:00,Y
Sunday 01-Mar-2020 20:00:00,Z
Sunday 01-Mar-2020 21:00:00,X
Sunday 01-Mar-2020 21:00:00,Y
Sunday 01-Mar-2020 21:00:00,Z
Sunday 01-Mar-2020 22:00:00,X
Sunday 01-Mar-2020 22:00:00,Y
Sunday 01-Mar-2020 22:00:00,Z
Sunday 01-Mar-2020 23:00:00,X
Sunday 01-Mar-2020 23:00:00,Y
Sunday 01-Mar-2020 23:00:00,Z
Monday 02-Mar-2020 00:00:00,X
Monday 02-Mar-2020 00:00:00,Y
Monday 02-Mar-2020 00:00:00,Z
