probtvec,probcomps
Monday 19-Feb-2018 19:00:00,X
Monday 19-Feb-2018 19:00:00,Y
Monday 19-Feb-2018 19:00:00,Z
Monday 19-Feb-2018 20:00:00,X
Monday 19-Feb-2018 20:00:00,Y
Monday 19-Feb-2018 20:00:00,Z
Monday 19-Feb-2018 21:00:00,X
Monday 19-Feb-2018 21:00:00,Y
Monday 19-Feb-2018 21:00:00,Z
Monday 19-Feb-2018 22:00:00,X
Monday 19-Feb-2018 22:00:00,Y
Monday 19-Feb-2018 22:00:00,Z
Monday 19-Feb-2018 23:00:00,X
Monday 19-Feb-2018 23:00:00,Y
Monday 19-Feb-2018 23:00:00,Z
Tuesday 20-Feb-2018 00:00:00,X
Tuesday 20-Feb-2018 00:00:00,Y
Tuesday 20-Feb-2018 00:00:00,Z
Tuesday 20-Feb-2018 01:00:00,X
Tuesday 20-Feb-2018 01:00:00,Y
Tuesday 20-Feb-2018 01:00:00,Z
Tuesday 20-Feb-2018 02:00:00,X
Tuesday 20-Feb-2018 02:00:00,Y
Tuesday 20-Feb-2018 02:00:00,Z
Tuesday 20-Feb-2018 03:00:00,X
Tuesday 20-Feb-2018 03:00:00,Y
Tuesday 20-Feb-2018 03:00:00,Z
Tuesday 20-Feb-2018 04:00:00,X
Tuesday 20-Feb-2018 04:00:00,Y
Tuesday 20-Feb-2018 04:00:00,Z
Tuesday 20-Feb-2018 05:00:00,X
Tuesday 20-Feb-2018 05:00:00,Y
Tuesday 20-Feb-2018 05:00:00,Z
Tuesday 20-Feb-2018 06:00:00,X
Tuesday 20-Feb-2018 06:00:00,Y
Tuesday 20-Feb-2018 06:00:00,Z
Monday 26-Feb-2018 16:00:00,X
Monday 26-Feb-2018 16:00:00,Y
Monday 26-Feb-2018 16:00:00,Z
Tuesday 27-Feb-2018 03:00:00,X
Tuesday 27-Feb-2018 03:00:00,Y
Tuesday 27-Feb-2018 03:00:00,Z
Tuesday 27-Feb-2018 16:00:00,X
Tuesday 27-Feb-2018 16:00:00,Y
Tuesday 27-Feb-2018 16:00:00,Z
Tuesday 27-Feb-2018 17:00:00,X
Tuesday 27-Feb-2018 17:00:00,Y
Tuesday 27-Feb-2018 17:00:00,Z
Tuesday 27-Feb-2018 19:00:00,X
Tuesday 27-Feb-2018 19:00:00,Y
Tuesday 27-Feb-2018 19:00:00,Z
Tuesday 27-Feb-2018 20:00:00,X
Tuesday 27-Feb-2018 20:00:00,Y
Tuesday 27-Feb-2018 20:00:00,Z
Tuesday 27-Feb-2018 21:00:00,X
Tuesday 27-Feb-2018 21:00:00,Y
Tuesday 27-Feb-2018 21:00:00,Z
Tuesday 27-Feb-2018 22:00:00,X
Tuesday 27-Feb-2018 22:00:00,Y
Tuesday 27-Feb-2018 22:00:00,Z
Wednesday 28-Feb-2018 20:00:00,X
Wednesday 28-Feb-2018 20:00:00,Y
Wednesday 28-Feb-2018 20:00:00,Z
