irisevtid,Displacement,Magnitude,distance_deg
11073569,y,6.6,154.5
10603140,y,7.5,24.09
11027275,y,6.5,154.32
10564076,y,6.5,147.12
10203458,y,6.9,29.51
11001798,y,6.6,29.84
10406394,y,7.1,29.9
10229162,y,6.8,30.16
10402114,y,8.1,30.35
10938779,y,7.3,31.3
10643929,y,7.2,31.35
10962403,y,6.8,38.94
10962400,y,6.6,39.13
10962405,y,6.5,39.24
11007849,y,7.5,42.5
10969290,y,6.7,43.88
10992822,y,6.8,48.46
10976411,y,7,48.76
10607586,y,7.9,49.49
10939656,y,7.1,51.38
11010219,y,7,55.07
10604800,y,7.1,55.96
10001810,y,6.5,60.32
10723241,y,6.8,61.81
10559136,y,6.5,62.33
10935968,y,6.6,66.86
10412003,y,6.6,68.74
10393952,y,6.6,69.15
10164335,y,6.8,70.38
10768524,y,6.9,70.63
10276742,y,7.7,70.97
10045137,y,6.6,71.59
10987513,y,7.3,72.2
10100470,y,6.9,73.23
11090197,y,6.8,74.43
10277813,y,6.6,75.05
11124259,y,6.7,75.65
10958985,y,6.7,78.22
10957985,y,6.5,79.97
10485707,y,7.3,87.23
10944513,y,6.6,90.83
10156016,y,6.5,105.08
10452079,y,6.8,106.42
10983619,y,7.1,106.61
10389595,y,6.5,106.63
11024052,y,6.5,106.99
11106517,y,6.6,107.87
11141229,y,6.6,110
10046663,y,6.5,111.83
10937540,y,8.2,111.91
10953779,n,6.7,111.99
10972756,y,6.8,112.36
11109519,n,6.6,113.56
10944928,y,7.9,114.04
10563329,y,6.5,115.03
11143029,n,6.5,115.2
10003583,y,6.9,115.43
9951821,y,6.9,117.06
10609375,y,6.6,118.17
10412494,y,6.7,118.23
10948555,n,6.5,118.9
11049517,y,7.3,118.99
10996154,y,6.6,120.4
10946332,y,6.9,120.49
10155449,y,6.8,120.81
10938788,n,6.5,121.12
11089506,y,6.6,121.33
10946252,y,6.5,122.27
9993037,y,6.5,122.62
10941432,y,7.1,123.22
10450330,y,6.8,123.64
10980271,y,7.5,123.65
10522367,y,7,123.85
10450776,y,6.6,123.89
10522278,y,6.6,124.04
9993759,y,7.9,124.22
10683123,y,6.8,124.25
10272234,y,6.5,125.69
10722272,y,6.9,126.2
10721146,y,6.6,126.25
10957936,y,7,126.55
9999650,y,6.5,126.58
11138271,y,6.6,129.69
10990548,y,7,129.84
10453062,y,6.5,130.43
10117631,y,6.9,130.85
10678559,y,7.5,132.29
10682154,y,6.7,132.57
9953968,y,7.3,132.62
10993072,y,6.6,133.29
11145501,y,7.1,133.99
10998373,y,6.7,134.19
11061463,y,6.9,135.1
11073718,y,7.3,135.3
11122322,y,6.5,137.82
10953070,y,7.5,137.85
11024890,y,6.8,138.6
10162842,y,6.6,138.74
11052554,y,7.3,140.08
10447967,n,6.7,143.44
10931571,y,6.9,146.52
10937747,y,6.9,146.54
11090554,y,6.9,146.99
10564076,y,6.5,147.12
11073569,y,6.6,154.5
10720774,y,6,
11102036,n,6,154.56
10998150,y,6.4,
10998098,n,6,
10954454,y,6,
10923909,y,6.4,
10941104,y,6.2,
10957904,n,6,
11082724,n,6,144.08
10923774,n,6,
10412015,n,6.3,
10391873,y,6.4,
11002102,y,6,
11023111,n,6.3,
11002089,y,6.1,
10977173,y,6.4,
11121621,n,6,141.06
10974301,y,6,
10399180,y,6.3,
10721044,y,6.4,
10406602,y,6.1,
10277221,y,6,
11021187,y,6,
10450492,y,6.1,
10949237,n,6,
11145623,n,6,134.04
10728247,n,6,
11017911,y,6.1,
10762979,n,6,
10681492,y,6,
10679714,y,6.1,
10725142,y,6.3,
10678755,y,6,
10040530,y,6,
11052533,y,6.1,
10985766,y,6.1,
11050987,y,6.3,
11149644,n,6.2,131.28
10638147,n,6,
10559419,y,6,
11013140,y,6.1,
10724397,y,6,
10945784,y,6.2,
10915082,y,6,
10608979,y,6.3,
10965448,n,6.1,
10006300,y,6.3,
